what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1255483763066
java.specification.version,sysinfo,,,"1.6",1255483763066
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1255483763066
java.version,sysinfo,,,"1.6.0_12",1255483763066
java.vm.info,sysinfo,,,"mixed mode",1255483763066
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1255483763066
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1255483763066
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1255483763066
java.vm.specification.version,sysinfo,,,"1.0",1255483763066
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1255483763066
java.vm.version,sysinfo,,,"11.2-b01",1255483763066
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.bugzilla.ui",1255483763082
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1255483763176
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.tasks.ui",1255483763270
started,bundle,org.eclipse.mylyn.team.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.team.ui",1255483763285
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.monitor.ui",1255483763395
closed,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1255483877645
closed,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.AllMarkersView",1255483877660
closed,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.ContentOutline",1255483877660
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.window.closePerspective",1255483877676
activated,perspective,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.JavaPerspective",1255483881676
activated,perspective,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.JavaPerspective",1255483881676
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090527,"org.eclipse.ui.views.log",1255483882254
started,bundle,org.eclipse.pde.ui,3.5.0.v20090528,"org.eclipse.pde.ui",1255483882270
opened,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1255483882332
