what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1255483882348
opened,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.ContentOutline",1255483882395
started,bundle,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search",1255483882598
opened,view,org.eclipse.mylyn.tasks.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1255483882785
started,bundle,org.springframework.ide.eclipse.ui,2.2.6.200908051215-RELEASE,"org.springframework.ide.eclipse.ui",1255483882848
started,bundle,org.springframework.ide.eclipse.core,2.2.6.200908051215-RELEASE,"org.springframework.ide.eclipse.core",1255483882910
started,bundle,org.springframework.ide.eclipse.beans.ui,2.2.6.200908051215-RELEASE,"org.springframework.ide.eclipse.beans.ui",1255483882941
started,bundle,org.springframework.ide.eclipse.beans.core,2.2.6.200908051215-RELEASE,"org.springframework.ide.eclipse.beans.core",1255483883051
opened,view,org.springframework.ide.eclipse.ui,2.2.6.200908051215-RELEASE,"org.springframework.ide.eclipse.ui.navigator.springExplorer",1255483883098
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1255483883316
activated,perspective,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.JavaPerspective",1255483883332
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.perspectives.showPerspective",1255483883332
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.perspectives.showPerspective",1255483883332
activated,view,org.eclipse.mylyn.tasks.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1255483985566
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1255483985582
closed,view,org.eclipse.mylyn.tasks.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1255483985598
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.ContentOutline",1255483985832
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1255483992270
closed,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.ContentOutline",1255483992285
activated,view,org.springframework.ide.eclipse.ui,2.2.6.200908051215-RELEASE,"org.springframework.ide.eclipse.ui.navigator.springExplorer",1255483993270
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1255483993285
closed,view,org.springframework.ide.eclipse.ui,2.2.6.200908051215-RELEASE,"org.springframework.ide.eclipse.ui.navigator.springExplorer",1255483993285
opened,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.TypeHierarchy",1255483996676
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.TypeHierarchy",1255483996691
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1255483997535
